Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ai hetu-n	aihetun	AIHETUN	abvd	FLOWER	abvd_116_flower_6
ai hua-n	aihuan	AIHUAN	abvd	FRUIT	abvd_117_fruit_1
ai lalan	ailalan	AILALAN	abvd	FOREST	abvd_127_woodsforest_11
ai nora-n	ainoran	AINORAN	abvd	LEAF	-
ai tolo	aitolo	AITOLO	abvd	BRANCH	-
aia	aia	AIA	abvd	STICK	abvd_79_stickwood_1
aifa	aifa	AIPA	abvd	FIRE	abvd_143_fire_1
aim	aim	AIM	abvd	WE	abvd_185_we_2
alu	alu	ALU	abvd	BUY	abvd_91_tobuy_61
ama-n	aman	AMAN	abvd	FATHER	abvd_60_father_1
ana-n	anan	ANAN	abvd	CHILD	abvd_56_child_1
ankaua	ankaua	ANKAUA	abvd	CHILD	abvd_56_child_1
ar|fil	arfil	ARPIL	abvd	WHEN	abvd_170_when_1
ata|uba	atauba	ATAUBA	abvd	PERSON	abvd_53_personhumanbeing_4
ate-n	aten	ATEN	abvd	LIVER	abvd_17_liver_1
au	au	AU	abvd	I	abvd_182_i_1
ausa	ausa	AUSA	abvd	DOG	abvd_96_dog_1
ba	ba	BA	abvd	NO OR NOT	abvd_195_nonot_25
ba kode	bakode	BAKODE	abvd	BAD OR EVIL	-
bai-n	bain	BAIN	abvd	BELLY	abvd_14_belly_88
biko	biko	BIKO	abvd	THIN	-
blai	blai	BLAI	abvd	FALL	abvd_95_tofall_107
bloko	bloko	BLOKO	abvd	SHORT	abvd_154_short_54
bob	bob	BOB	abvd	HIT	abvd_72_tohit_4
boiei	boiei	BOIEI	abvd	SLEEP	abvd_48_tosleep_43
broei	broei	BROEI	abvd	ROTTEN	-
bruis	bruis	BRUIS	abvd	WARM	-
buti	buti	BUTI	abvd	WHITE	abvd_148_white_1
crui	crui	KRUI	abvd	SCRATCH	abvd_77_toscratch_1?
dan	dan	DAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
dinir	dinir	DINIR	abvd	THINK	-
dlo	dlo	DLO	abvd	CORRECT (RIGHT)	-
do	do	DO	abvd	CUT OR HACK	-
eiot	eiot	EIOT	abvd	SEE	abvd_46_tosee_1
eno-n	enon	ENON	abvd	SAND	abvd_121_sand_1
eon	eon	EON	abvd	DRINK	abvd_40_todrink_1
era	era	ERA	abvd	WATER	abvd_122_water_2?
era lol	eralol	ERALOL	abvd	FLOW	-
fail	fail	PAIL	abvd	HOLD	-
