Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aepe	aepe	AEPE	abvd	NEAR	abvd_179_near_17
atao	atao	ATAO	abvd	CUT OR HACK	-
awü	aw	AW	abvd	SWIM	abvd_9_toswim_25
ayʌlu	ayʌlu	AULU	abvd	TURN	abvd_8_toturn_36
dmbʌœ	dmbʌ	DMB	abvd	CLOUD	abvd_131_cloud_33
dɒmbə	dɒmbə	DMBE	abvd	CLOUD	abvd_131_cloud_33
esʌ̃mʌ	esʌ̃mʌ	ESM	abvd	SIX	abvd_202_six_13
etu	etu	ETU	abvd	BIG	abvd_153_big_20
eŋü	e	E	abvd	FLOW	-
itoto	itoto	ITOTO	abvd	CHILD	abvd_56_child_33
iue	iue	IUE	abvd	WATER	abvd_122_water_22
ka	ka	KA	abvd	SWIM	abvd_9_toswim_5
kalivæ	kaliv	KALIB	abvd	SCRATCH	abvd_77_toscratch_12
kio	kio	KIO	abvd	BIRD	abvd_97_bird_16
klʌ	klʌ	KL	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_18
kuli	kuli	KULI	abvd	DOG	abvd_96_dog_7
kæ-mbʌ	kmbʌ	KMB	abvd	BE DEAD OR DIE	abvd_75_todiebedead_19
kæœmolœŋœ	kmol	KMOL	abvd	LEFT	abvd_2_left_40
kæœtɒ	ktɒ	KT	abvd	RIGHT	abvd_3_right_5
kœla	kla	KLA	abvd	THIS	abvd_177_this_19
kʌyaləmbu	kʌyaləmbu	KUALEMBU	abvd	SCRATCH	-
lapiʌ	lapiʌ	LAPI	abvd	SPLIT	abvd_80_tosplit_44
leplʌ	leplʌ	LEPL	abvd	PERSON	abvd_53_personhumanbeing_36
letʌlvʌ	letʌlvʌ	LETLB	abvd	OLD	-
leu	leu	LEU	abvd	LEAF	abvd_114_leaf_1
li	li	LI	abvd	TWO	abvd_198_two_1
lo	lo	LO	abvd	THATCH OR ROOF	abvd_62_thatchroof_33
lu	lu	LU	abvd	BE ALIVE	abvd_76_tolivebealive_34
luɒ	luɒ	LU	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_1
lvœ	lv	LB	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_1
læe	le	LE	abvd	MOTHER	abvd_59_mother_26
lœkʌ̃	lkʌ̃	LK	abvd	RAT	abvd_102_rat_50
lœpœti	lpti	LPTI	abvd	WET	-
lœpʌki	lpʌki	LPKI	abvd	PATH OR ROAD	abvd_6_roadpath_31
lɒkipo	lɒkipo	LKIPO	abvd	RAT	abvd_102_rat_51
lʌ	lʌ	L	abvd	CUT OR HACK	-
lʌmbüœ	lʌmb	LMB	abvd	COUNT	-
ma	ma	MA	abvd	HOUSE	abvd_61_house_1?
makæ	mak	MAK	abvd	BITE	abvd_41_tobite_35
male	male	MALE	abvd	HOLD	abvd_89_tohold_53
malo	malo	MALO	abvd	SHARP	abvd_81_sharp_36
malɒ	malɒ	MAL	abvd	SHARP	abvd_81_sharp_36
mba	mba	MBA	abvd	YELLOW	-
mbao	mbao	MBAO	abvd	COLD	abvd_139_cold_39
mbaŋavʌ	mbaavʌ	MBAAB	abvd	SKY	abvd_128_sky_27
mbaŋœ	mba	MBA	abvd	YELLOW	-
mbe ndœtü	mbendt	MBENDT	abvd	SKIN	abvd_12_skin_47
mbelœmœi	mbelmi	MBELMI	abvd	THUNDER	abvd_134_thunder_5
mbendœtü	mbendt	MBENDT	abvd	SKIN	abvd_12_skin_47
mbia	mbia	MBIA	abvd	SPIT	abvd_36_tospit_21
mbilumbœ	mbilumb	MBILUMB	abvd	INTESTINES	abvd_16_intestines_27
mblüki	mblki	MBLKI	abvd	DIRTY	-
mbo	mbo	MBO	abvd	BLACK	abvd_147_black_45
mboi	mboi	MBOI	abvd	LONG	abvd_155_long_34
mbutu	mbutu	MBUTU	abvd	BLUNT	abvd_82_dullblunt_1
mbü	mb	MB	abvd	ASH	abvd_146_ashes_31
mbʌ	mbʌ	MB	abvd	BE DEAD OR DIE	abvd_75_todiebedead_19
mbʌlœpɒ	mbʌlpɒ	MBLP	abvd	LIGHTNING	-
mbʷitoto	mbitoto	MBITOTO	abvd	SPIDER	-
melæ	mel	MEL	abvd	THIN	abvd_156_thin_15
mepiœ	mepi	MEPI	abvd	BLOOD	abvd_23_blood_27
meve	meve	MEBE	abvd	THICK	-
mie	mie	MIE	abvd	WHERE	abvd_181_where_39
mie kamu	miekamu	MIEKAMU	abvd	HOW	abvd_194_how_34
mini	mini	MINI	abvd	BREATHE	abvd_28_tobreathe_38
miŋœ	mi	MI	abvd	DRY	abvd_140_dry_34
mlæ	ml	ML	abvd	LIE DOWN	-
mo	mo	MO	abvd	MOSQUITO	abvd_109_mosquito_1
molæ	mol	MOL	abvd	SEE	abvd_46_tosee_31
mu	mu	MU	abvd	THINK	abvd_21_tothink_41
mü	m	M	abvd	HAND	abvd_1_hand_1
mümbu	mmbu	MMBU	abvd	GREEN	-
mündu	mndu	MNDU	abvd	BLUNT	abvd_82_dullblunt_55
mœ	m	M	abvd	SEE	abvd_46_tosee_32
mœlepu	mlepu	MLEPU	abvd	HEAVY	abvd_142_heavy_28
mœlue	mlue	MLUE	abvd	HEAVY	abvd_142_heavy_28
mœmbɒ	mmbɒ	MMB	abvd	SHORT	abvd_154_short_9
mœna	mna	MNA	abvd	NEW	abvd_163_new_8
mœvœ	mv	MB	abvd	ROTTEN	abvd_112_rotten_1
mɒ	mɒ	M	abvd	MOSQUITO	abvd_109_mosquito_1
mɒlæ	mɒl	ML	abvd	SEE	abvd_46_tosee_31
mʌ	mʌ	M	abvd	EYE	abvd_45_eye_1
mʌli kaeke	mʌlikaeke	MLIKAEKE	abvd	WHEN	abvd_170_when_22
mʌlʌ	mʌlʌ	ML	abvd	GOOD	abvd_164_good_42
mʷi	mi	MI	abvd	SLEEP	abvd_48_tosleep_37
mʷælœ	ml	ML	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
naeke	naeke	NAEKE	abvd	WHAT	abvd_188_what_32
nalʌpü	nalʌp	NALP	abvd	TONGUE	abvd_32_tongue_24
nambæ	namb	NAMB	abvd	WING	abvd_100_wing_3
nambœ	namb	NAMB	abvd	GRASS	abvd_118_grass_29
nambə	nambə	NAMBE	abvd	BELOW OR UNDER	-
nambʌnenü	nambʌnen	NAMBNEN	abvd	YEAR	abvd_169_year_26
nambʌnenükʌpəla	nambʌnenkʌpəla	NAMBNENKPELA	abvd	YEAR	abvd_169_year_26
namnæ	namn	NAMN	abvd	WING	abvd_100_wing_3
