Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
?aa	ʔaː	HA	wold	UNCLE	-
?aacaan	ʔaːcaːn	HAKAN	wold	TEACHER	-
?aachaa	ʔaːtɕaː	HATSA	wold	HORSE	-
?aacian	ʔaːcian	HAKIAN	wold	VOMIT	-
?aahǎan	ʔaːhǎ/aan	HAHAAN	wold	FOOD	-
?aahǎancháaw	ʔaːhǎ/aantɕáa/aːw	HAHAANTSAAW	wold	BREAKFAST	-
?aahǎanklaaŋwan	ʔaːhǎ/aanklaːŋwan	HAHAANKLANWAN	wold	LUNCH	-
?aahǎanyen	ʔaːhǎ/aanjen	HAHAANYEN	wold	DINNER (SUPPER)	-
?aakàat	ʔaːkàa/aːt	HAKAAT	wold	AIR	-
?aakɔɔn	ʔaːkɔːn	HAKON	wold	TAX	-
?aasǎi	ʔaːsǎ/ai	HASAI	wold	DWELL (LIVE, RESIDE)	-
?aasǎn	ʔaːsǎ/an	HASAN	wold	DIE	-
?aathít	ʔaːtʰí/it	HATIT	wold	WEEK	-
?aawút	ʔaːwú/ut	HAWUT	wold	WEAPONS	-
?aayú	ʔaːjú/u	HAYU	wold	AGE	-
?an	ʔan	HAN	wold	PIECE	-
?anaathǎa	ʔanaːtʰǎ/aa	HANATAA	wold	POOR	-
?anchəən	ʔantɕəːn	HANTSEN	wold	INVITE	-
?annǎy	ʔannǎ/aj	HANNAY	wold	WHICH	-
?antaraay	ʔantaraːj	HANTARAY	wold	DANGER	-
?anthá	ʔantʰá/a	HANTA	wold	TESTICLES	-
?anítcakam	ʔaní/itcakam	HANITKAKAM	wold	DIE	-
?ao_maa	ʔaomaː	HAOMA	wold	BRING	-
?aopay	ʔaopaj	HAOPAY	wold	TAKE	-
?aphay	ʔapʰaj	HAPAY	wold	FORGIVE	-
?aray	ʔaraj	HARAY	wold	WHAT	-
?arun	ʔarun	HARUN	wold	DAWN	-
?asɔ̌ɔraphít	ʔasɔ̌ɔ/ɔːrapʰí/it	HASOOORAPIT	wold	SNAKE	-
?athíthǎan	ʔatʰí/itʰǎ/aan	HATITAAN	wold	PRAY	-
?ay	ʔaj	HAY	wold	COUGH	-
?aydia	ʔajdia	HAYDIA	wold	IDEA	-
?aŋ	ʔaŋ	HAN	wold	ROAST OR FRY	-
?aŋkhaan	ʔaŋkʰaːn	HANKAN	wold	TUESDAY	-
?aŋùn	ʔaŋù/un	HANUN	wold	GRAPE	-
?eem	ʔeːm	HEM	wold	SWEET	-
?eew	ʔeːw	HEW	wold	WAIST	-
?en	ʔen	HEN	wold	TENDON	-
?ii	ʔiː	HI	wold	HE	-
?insii	ʔinsiː	HINSI	wold	EAGLE	-
?oŋkhachâat	ʔoŋkʰatɕâa/aːt	HONKATSAAT	wold	PENIS	-
?uayphɔɔn	ʔuajpʰɔːn	HUAYPON	wold	BLESS	-
?udɔɔn	ʔudɔːn	HUDON	wold	NORTH	-
?àan	ʔàa/aːn	HAAN	wold	THINK (REFLECT)	-
?àapnáam	ʔàa/aːpnáa/aːm	HAAPNAAM	wold	BATHE	-
?àatchayaakam	ʔàa/aːttɕajaːkam	HAATTSAYAKAM	wold	CRIME	-
?àaw	ʔàa/aːw	HAAW	wold	BAY	-
?àaŋ	ʔàa/aːŋ	HAAN	wold	SINK (BASIN)	-
